DataType,DataSize,Algorithm,Comparisons,Time(s)
Random,1000,selection-sort,499500,0.016083
Random,1000,insertion-sort,250639,0.007572
Random,1000,bubble-sort,499500,0.023256
Random,1000,shaker-sort,499500,0.018194
Random,1000,shell-sort,14674,0.000487
Random,1000,heap-sort,16824,0.000899
Random,1000,merge-sort,8728,0.002179
Random,1000,quick-sort,10884,0.000319
Random,1000,counting-sort,1000,0.000122
Random,1000,radix-sort,10029,0.000219
Random,1000,flash-sort,1000,0.000176
Random,2000,selection-sort,1999000,0.062759
Random,2000,insertion-sort,1015106,0.030775
Random,2000,bubble-sort,1999000,0.094099
Random,2000,shaker-sort,1999000,0.073243
Random,2000,shell-sort,35008,0.001337
Random,2000,heap-sort,37690,0.001768
Random,2000,merge-sort,19403,0.004557
Random,2000,quick-sort,23128,0.000673
Random,2000,counting-sort,2000,0.000156
Random,2000,radix-sort,26039,0.000556
Random,2000,flash-sort,2000,0.000241
Random,5000,selection-sort,12497500,0.371838
Random,5000,insertion-sort,6286466,0.191164
Random,5000,bubble-sort,12497500,0.562061
Random,5000,shaker-sort,12497500,0.445282
Random,5000,shell-sort,112443,0.004149
Random,5000,heap-sort,107764,0.004817
Random,5000,merge-sort,55295,0.01062
Random,5000,quick-sort,70026,0.002597
Random,5000,counting-sort,5000,0.000367
Random,5000,radix-sort,65039,0.001397
Random,5000,flash-sort,5000,0.000851
Random,10000,selection-sort,49995000,1.4993
Random,10000,insertion-sort,24792933,0.771015
Random,10000,bubble-sort,49995000,2.266747
Random,10000,shaker-sort,49995000,1.782078
Random,10000,shell-sort,261638,0.008981
Random,10000,heap-sort,235255,0.010636
Random,10000,merge-sort,120489,0.022808
Random,10000,quick-sort,152201,0.004333
Random,10000,counting-sort,10000,0.001089
Random,10000,radix-sort,130039,0.003204
Random,10000,flash-sort,10000,0.001532
Random,20000,selection-sort,199990000,5.931008
Random,20000,insertion-sort,100505762,3.028771
Random,20000,bubble-sort,199990000,9.085474
Random,20000,shaker-sort,199990000,7.1431
Random,20000,shell-sort,616825,0.020348
Random,20000,heap-sort,510815,0.021883
Random,20000,merge-sort,260859,0.045885
Random,20000,quick-sort,329077,0.009603
Random,20000,counting-sort,20000,0.00183
Random,20000,radix-sort,320049,0.007637
Random,20000,flash-sort,20000,0.003642
Sorted,1000,selection-sort,499500,0.015055
Sorted,1000,insertion-sort,1998,0.00004
Sorted,1000,bubble-sort,499500,0.015591
Sorted,1000,shaker-sort,499500,0.010749
Sorted,1000,shell-sort,8006,0.000272
Sorted,1000,heap-sort,17583,0.00107
Sorted,1000,merge-sort,5044,0.001934
Sorted,1000,quick-sort,7987,0.00035
Sorted,1000,counting-sort,1000,0.000086
Sorted,1000,radix-sort,10029,0.000243
Sorted,1000,flash-sort,1000,0.000132
Sorted,2000,selection-sort,1999000,0.061256
Sorted,2000,insertion-sort,3998,0.000118
Sorted,2000,bubble-sort,1999000,0.058844
Sorted,2000,shaker-sort,1999000,0.041145
Sorted,2000,shell-sort,18006,0.000786
Sorted,2000,heap-sort,39159,0.001756
Sorted,2000,merge-sort,11088,0.004375
Sorted,2000,quick-sort,17964,0.000761
Sorted,2000,counting-sort,2000,0.000216
Sorted,2000,radix-sort,26039,0.000893
Sorted,2000,flash-sort,2000,0.000308
Sorted,5000,selection-sort,12497500,0.372466
